D;Delta;env;chi;eng
2;3.2405735333011933e-16;BP;1;-105.23583238803792
4;3.2405735333011933e-16;BP;1;-105.23583238803792
8;3.2405735333011933e-16;BP;1;-105.23583238803792
16;3.2405735333011933e-16;BP;1;-105.23583238803792
32;3.2405735333011933e-16;BP;1;-105.23583238803792
4;3.2405735333011933e-16;CTM;2;-105.23583238803792
4;3.2405735333011933e-16;CTM;4;-105.23583238803792
4;3.2405735333011933e-16;CTM;8;-105.23583238803792
2;3.2405735333011933e-16;CTM;2;-105.23583238803792
2;3.2405735333011933e-16;CTM;4;-105.23583238803792
2;3.2405735333011933e-16;CTM;8;-105.23583238803792
8;3.2405735333011933e-16;CTM;2;-105.23583238803792
8;3.2405735333011933e-16;CTM;4;-105.23583238803792
8;3.2405735333011933e-16;CTM;8;-105.23583238803792
16;3.2405735333011933e-16;CTM;2;-105.23583238803792
16;3.2405735333011933e-16;CTM;4;-105.23583238803792
16;3.2405735333011933e-16;CTM;8;-105.23583238803792
32;3.2405735333011933e-16;CTM;2;-105.23583238803792
32;3.2405735333011933e-16;CTM;4;-105.23583238803792
32;3.2405735333011933e-16;CTM;8;-105.23583238803792
32;2.8065782541720394e-16;BP;1;-105.23583238803793
64;3.2405735333011933e-16;BP;1;-105.23583238803792
