D;Delta;env;chi;eng
2;0.19297058300614733;BP;1;-165.11216037184965
4;0.04841291840642046;BP;1;-157.6116430764873
8;1.7739450818677347e-15;BP;1;-155.97021053978588
16;1.7739450818677347e-15;BP;1;-155.97021053978588
32;1.7739450818677347e-15;BP;1;-155.97021053978588
2;0.19297058300614733;CTM;2;-165.1123105652483
2;0.19297058300614733;CTM;4;-165.11230547319514
4;0.04841291840642046;CTM;2;-157.61161998673714
2;0.19297058300614733;CTM;8;-165.11230547319514
4;0.04841291840642046;CTM;4;-157.61164049591247
4;0.04841291840642046;CTM;8;-157.61167618778518
16;1.7739450818677347e-15;CTM;2;-155.95173880506164
16;1.7739450818677347e-15;CTM;4;-155.95173878532484
16;1.7739450818677347e-15;CTM;8;-155.95173878532484
8;1.7739450818677347e-15;CTM;2;-155.95173880506164
8;1.7739450818677347e-15;CTM;4;-155.95173878532484
8;1.7739450818677347e-15;CTM;8;-155.95173878532484
32;1.7739450818677347e-15;CTM;2;-155.95173880506164
32;1.7739450818677347e-15;CTM;4;-155.95173878532484
32;1.7739450818677347e-15;CTM;8;-155.95173878532484
32;1.6914279477974222e-15;BP;1;-155.97021053978588
