D;Delta;env;chi;eng
2;0.14132807531234254;BP;1;-148.53608754525231
4;0.027739448799793502;BP;1;-144.83496934130397
8;2.6014300321666015e-15;BP;1;-144.38029646255777
16;2.6014300321666015e-15;BP;1;-144.38029646255777
32;2.6014300321666015e-15;BP;1;-144.38029646255777
2;0.14132807531234254;CTM;2;-148.536114061098
2;0.14132807531234254;CTM;4;-148.53614913953604
2;0.14132807531234254;CTM;8;-148.53614913953604
4;0.027739448799793502;CTM;2;-144.8349839626155
4;0.027739448799793502;CTM;4;-144.83503022505698
4;0.027739448799793502;CTM;8;-144.83498169208437
8;2.6014300321666015e-15;CTM;2;-144.3780572161702
8;2.6014300321666015e-15;CTM;4;-144.37805721177872
8;2.6014300321666015e-15;CTM;8;-144.37805721177872
32;2.6014300321666015e-15;CTM;2;-144.3780572161702
32;2.6014300321666015e-15;CTM;4;-144.37805721177872
32;2.6014300321666015e-15;CTM;8;-144.37805721177872
16;2.6014300321666015e-15;CTM;2;-144.3780572161702
16;2.6014300321666015e-15;CTM;4;-144.37805721177872
16;2.6014300321666015e-15;CTM;8;-144.37805721177872
64;2.6014300321666015e-15;BP;1;-144.38029646255777
