D;which;D2;which2;chi;Delta;Delta2;time;eng
8;BP;8;BP;2;0.24281514350178973;0.0;302.01204681396484;-179.64412599895746
4;BP;4;BP;2;0.350745414457012;0.0;315.8913655281067;-180.9830042586689
4;BP;4;BP;1;0.350745414457012;0.0;325.3035750389099;-180.97489828861183
4;NN+BP;4;NN+BP;4;0.3506820732124068;0.0;288.1946437358856;-180.98990415112
8;BP;8;BP;1;0.24281514350178973;0.0;363.69103026390076;-179.64831211781933
16;BP;16;BP;2;0.1562685169592629;0.0;638.1405758857727;-178.44978176100224
8;NN+BP;8;NN+BP;8;0.2431807040003946;0.0;663.7405154705048;-179.6394684737135
16;BP;16;BP;1;0.1562685169592629;0.0;736.5039830207825;-178.42958272312754
12;NN+BP;12;NN+BP;12;0.19185238357288165;0.0;3196.6257090568542;-178.99968519898505
32;BP;32;BP;1;0.08298258532794883;0.0;4097.7101492881775;-177.41389353839912
32;BP;32;BP;2;0.08298258532794883;0.0;4942.48069024086;-177.4438975168283
64;BP;64;BP;1;0.03481047297573924;0.0;20869.564066648483;-176.90896432337266
64;BP;64;BP;2;0.03481047297573924;0.0;32931.76276087761;-176.94482968960133
8;BP;8;BP;2;0.16844591381192506;0.0;436.5499761104584;-179.49605734438134
4;BP;4;BP;2;0.24523387355005177;0.0;619.6098492145538;-180.82337775429394
4;BP;4;BP;1;0.24523387355005177;0.0;631.7460963726044;-180.81340238074424
8;BP;8;BP;1;0.16844591381192506;0.0;643.4088673591614;-179.48569328344726
16;BP;16;BP;1;0.10652674241859045;0.0;978.6501858234406;-178.27352415529867
16;BP;16;BP;2;0.10652674241859045;0.0;1013.5546708106995;-178.29365179233213
32;BP;32;BP;1;0.0558198848167632;0.0;3273.5316500663757;-177.33760906053715
32;BP;32;BP;2;0.0558198848167632;0.0;4661.3254680633545;-177.36879812732235
64;BP;64;BP;1;0.02316782103576632;0.0;35119.164674282074;-176.88623489359594
64;BP;64;BP;1;0.023167821035766437;0.0;10608.909987211227;-176.88623489359586
64;BP;64;BP;2;0.023167821035766437;0.0;21440.62415409088;-176.9225131361264
128;BP;128;BP;1;0.007585178085088681;0.0;95103.64997172356;-176.7566943008547
