D;Delta;env;chi;eng
2;2.938781876116056e-16;BP;1;-82.25996045159438
4;2.938781876116056e-16;BP;1;-82.25996045159438
8;2.938781876116056e-16;BP;1;-82.25996045159438
16;2.938781876116056e-16;BP;1;-82.25996045159438
32;2.938781876116056e-16;BP;1;-82.25996045159438
2;2.938781876116056e-16;CTM;2;-82.25996045159438
2;2.938781876116056e-16;CTM;4;-82.25996045159438
2;2.938781876116056e-16;CTM;8;-82.25996045159438
4;2.938781876116056e-16;CTM;2;-82.25996045159438
4;2.938781876116056e-16;CTM;4;-82.25996045159438
4;2.938781876116056e-16;CTM;8;-82.25996045159438
32;2.938781876116056e-16;CTM;2;-82.25996045159438
32;2.938781876116056e-16;CTM;4;-82.25996045159438
32;2.938781876116056e-16;CTM;8;-82.25996045159438
16;2.938781876116056e-16;CTM;2;-82.25996045159438
16;2.938781876116056e-16;CTM;4;-82.25996045159438
16;2.938781876116056e-16;CTM;8;-82.25996045159438
8;2.938781876116056e-16;CTM;2;-82.25996045159438
8;2.938781876116056e-16;CTM;4;-82.25996045159438
8;2.938781876116056e-16;CTM;8;-82.25996045159438
64;2.938781876116056e-16;BP;1;-82.25996045159438
32;3.075657451089367e-16;BP;1;-82.2599604515944
64;2.938781876116056e-16;BP;1;-82.25996045159438
