D;Delta;env;chi;eng
2;0.3659623644508967;BP;1;-129.4374958590518
8;0.029290116829059437;BP;1;-114.0876775376076
4;0.14665723703233033;BP;1;-119.19220567358376
16;5.939213294863086e-15;BP;1;-113.57803409533224
32;5.939213294863086e-15;BP;1;-113.57803409533224
2;0.3659623644508967;CTM;2;-129.44849836916805
2;0.3659623644508967;CTM;4;-129.4483424924767
2;0.3659623644508967;CTM;8;-129.4483424924767
4;0.14665723703233033;CTM;2;-119.19455680275773
4;0.14665723703233033;CTM;4;-119.19702461870042
4;0.14665723703233033;CTM;8;-119.1968897136859
8;0.029290116829059437;CTM;2;-114.08614873278702
8;0.029290116829059437;CTM;4;-114.09004486899771
8;0.029290116829059437;CTM;8;-114.09030156271649
16;5.939213294863086e-15;CTM;2;-113.58068104466619
16;5.939213294863086e-15;CTM;4;-113.57918077450772
16;5.939213294863086e-15;CTM;8;-113.57918077450773
32;5.939213294863086e-15;CTM;2;-113.58068104466619
32;5.939213294863086e-15;CTM;4;-113.57918077450772
32;5.939213294863086e-15;CTM;8;-113.57918077450773
