D;Delta;env;chi;eng
2;0.13841405931702594;BP;1;-116.47778093120932
4;0.026859156818071505;BP;1;-113.84123428150222
8;2.6406225181723645e-15;BP;1;-113.50175733221545
32;2.6406225181723645e-15;BP;1;-113.50175733221545
16;2.6406225181723645e-15;BP;1;-113.50175733221545
2;0.13841405931702594;CTM;2;-116.47734922615348
2;0.13841405931702594;CTM;4;-116.477361498953
2;0.13841405931702594;CTM;8;-116.477361498953
4;0.026859156818071505;CTM;2;-113.84133644892626
4;0.026859156818071505;CTM;4;-113.84119715074905
4;0.026859156818071505;CTM;8;-113.84125122632057
8;2.6406225181723645e-15;CTM;2;-113.49444700514518
8;2.6406225181723645e-15;CTM;4;-113.49444699695856
8;2.6406225181723645e-15;CTM;8;-113.49444699695856
16;2.6406225181723645e-15;CTM;2;-113.49444700514518
16;2.6406225181723645e-15;CTM;4;-113.49444699695856
16;2.6406225181723645e-15;CTM;8;-113.49444699695856
32;2.6406225181723645e-15;CTM;2;-113.49444700514518
32;2.6406225181723645e-15;CTM;4;-113.49444699695856
32;2.6406225181723645e-15;CTM;8;-113.49444699695856
64;2.6406225181723645e-15;BP;1;-113.50175733221545
