D;Delta;env;chi;eng
2;0.1741587254354044;BP;1;-149.84768842019
4;0.07433904393192409;BP;1;-147.17227615665615
16;4.08741626560106e-15;BP;1;-145.37242720906113
8;0.010296451678690895;BP;1;-145.4432498670313
32;4.08741626560106e-15;BP;1;-145.37242720906113
2;0.1741587254354044;CTM;4;-149.8468203175223
2;0.1741587254354044;CTM;2;-149.84669628692268
2;0.1741587254354044;CTM;8;-149.8468203175223
16;4.08741626560106e-15;CTM;2;-145.3726463333391
16;4.08741626560106e-15;CTM;4;-145.37223131397877
32;4.08741626560106e-15;CTM;2;-145.3726463333391
16;4.08741626560106e-15;CTM;8;-145.37223131397877
32;4.08741626560106e-15;CTM;4;-145.37223131397877
32;4.08741626560106e-15;CTM;8;-145.37223131397877
4;0.07433904393192409;CTM;2;-147.17212907047093
4;0.07433904393192409;CTM;4;-147.17207958141302
4;0.07433904393192409;CTM;8;-147.1720747193286
8;0.010296451678690895;CTM;2;-145.44325678800308
8;0.010296451678690895;CTM;4;-145.44338370267752
8;0.010296451678690895;CTM;8;-145.44346223962918
64;4.08741626560106e-15;BP;1;-145.37242720906113
