D;Delta;env;chi;eng
2;2.9405565162814923e-16;BP;1;-82.14987919870181
4;2.9405565162814923e-16;BP;1;-82.14987919870181
8;2.9405565162814923e-16;BP;1;-82.14987919870181
16;2.9405565162814923e-16;BP;1;-82.14987919870181
32;2.9405565162814923e-16;BP;1;-82.14987919870181
4;2.9405565162814923e-16;CTM;2;-82.1498791987018
4;2.9405565162814923e-16;CTM;4;-82.1498791987018
4;2.9405565162814923e-16;CTM;8;-82.1498791987018
8;2.9405565162814923e-16;CTM;2;-82.1498791987018
8;2.9405565162814923e-16;CTM;4;-82.1498791987018
8;2.9405565162814923e-16;CTM;8;-82.1498791987018
16;2.9405565162814923e-16;CTM;2;-82.1498791987018
16;2.9405565162814923e-16;CTM;4;-82.1498791987018
16;2.9405565162814923e-16;CTM;8;-82.1498791987018
2;2.9405565162814923e-16;CTM;2;-82.1498791987018
2;2.9405565162814923e-16;CTM;4;-82.1498791987018
2;2.9405565162814923e-16;CTM;8;-82.1498791987018
32;2.9405565162814923e-16;CTM;2;-82.1498791987018
32;2.9405565162814923e-16;CTM;4;-82.1498791987018
32;2.9405565162814923e-16;CTM;8;-82.1498791987018
32;3.3586946662742357e-16;BP;1;-82.14987919870181
