D;Delta;env;chi;eng
2;0.09007698256225255;BP;1;-116.87914846202649
4;8.702666202860495e-16;BP;1;-113.65718242748471
16;8.702666202860495e-16;BP;1;-113.65718242748471
8;8.702666202860495e-16;BP;1;-113.65718242748471
32;8.702666202860495e-16;BP;1;-113.65718242748471
2;0.09007698256225255;CTM;2;-116.87915026204634
2;0.09007698256225255;CTM;4;-116.87908090923077
2;0.09007698256225255;CTM;8;-116.87908090923077
4;8.702666202860495e-16;CTM;2;-113.59700717173673
4;8.702666202860495e-16;CTM;4;-113.59700717173673
4;8.702666202860495e-16;CTM;8;-113.59700717173673
8;8.702666202860495e-16;CTM;2;-113.59700717173673
8;8.702666202860495e-16;CTM;4;-113.59700717173673
8;8.702666202860495e-16;CTM;8;-113.59700717173673
16;8.702666202860495e-16;CTM;2;-113.59700717173673
16;8.702666202860495e-16;CTM;4;-113.59700717173673
16;8.702666202860495e-16;CTM;8;-113.59700717173673
32;8.702666202860495e-16;CTM;2;-113.59700717173673
32;8.702666202860495e-16;CTM;4;-113.59700717173673
32;8.702666202860495e-16;CTM;8;-113.59700717173673
64;8.702666202860495e-16;BP;1;-113.65718242748471
