D;which;D2;which2;chi;Delta;Delta2;time;eng
4;NN+;4;NN+;16;0.3195397039002439;0.0;85.34246158599854;-162.88530532749039
4;BP;4;BP;16;0.32035818114993664;0.0;125.88253426551819;-162.89461727147244
4;NN+BP;4;NN+BP;16;0.32020472678515566;0.0;166.91011881828308;-162.89093580210022
6;NN+;6;NN+;24;0.21145387070597588;0.0;609.0580644607544;-161.5115165871833
6;BP;6;BP;24;0.21199135619368042;0.0;621.4141521453857;-161.51684006418614
6;NN+BP;6;NN+BP;24;0.21196324778938672;0.0;715.917144536972;-161.5140675032224
8;BP;8;BP;32;0.15934981666365342;0.0;4283.049383401871;-160.8289162407434
8;NN+;8;NN+;32;0.15886443584092122;0.0;4293.818871498108;-160.82942986797036
8;NN+BP;8;NN+BP;32;0.1593452964849416;0.0;4494.859379053116;-160.83065841649122
10;BP;10;BP;40;0.12556523892109211;0.0;20371.956833839417;-160.40376469199046
10;NN+;10;NN+;40;0.1252544051957227;0.0;20685.88567495346;-160.40368695660322
10;NN+BP;10;NN+BP;40;0.12565699482686096;0.0;21218.44395494461;-160.40549864295315
4;BP;4;BP;1;0.32035818114993664;0.0;94.50306606292725;-162.8796274877023
6;BP;6;BP;1;0.21199135619368042;0.0;131.96112751960754;-161.50486247108228
8;BP;8;BP;1;0.15934981666365342;0.0;258.11557507514954;-160.82050650184834
10;BP;10;BP;1;0.12556523892109211;0.0;484.47921204566956;-160.3973210972006
12;BP;12;BP;1;0.10109195819109673;0.0;850.2516965866089;-160.12467828978703
16;BP;16;BP;1;0.06856737972709498;0.0;4020.409543991089;-159.7802716756093
12;BP;12;BP;48;0.10109195819109673;0.0;72873.5011177063;-160.130360566584
12;NN+;12;NN+;48;0.10075999752848151;0.0;73634.46059346199;-160.13118877298288
12;NN+BP;12;NN+BP;48;0.1012175134997682;0.0;74298.37166070938;-160.13243489153848
32;BP;32;BP;1;0.02049326007640643;0.0;59144.58024477959;-159.39756816224605
