D;Delta;env;chi;eng
4;0.2003992411185842;BP;1;-206.06710342900723
4;0.2003992411185842;MPS;2;-206.0617473366424
4;0.2003992411185842;MPS;4;-206.06030356493807
4;0.2003992411185842;CTM;2;-206.06223153348165
4;0.2003992411185842;MPS;6;-206.06098789052055
4;0.2003992411185842;CTM;4;-206.0606601177504
4;0.2003992411185842;CTM;6;-206.0604482603766
4;0.2003992411185842;MPS;8;-206.06075069979696
8;0.093366811438645;BP;1;-202.5982829539431
4;0.2003992411185842;CTM;8;-206.06049946085554
8;0.093366811438645;CTM;2;-202.59249090281494
8;0.093366811438645;MPS;2;-202.5913936450375
16;0.03260532318924983;BP;1;-200.9848554564501
8;0.093366811438645;CTM;4;-202.5903647853939
8;0.093366811438645;MPS;4;-202.5874135760419
8;0.093366811438645;CTM;6;-202.590557312832
8;0.093366811438645;CTM;8;-202.59002208800925
8;0.093366811438645;MPS;6;-202.58952006462874
32;0.006730572569123025;BP;1;-200.59795189494054
8;0.093366811438645;MPS;8;-202.58884064662777
16;0.03260532318924983;CTM;2;-200.9770167629092
16;0.03260532318924983;CTM;4;-200.97508684864442
16;0.03260532318924983;MPS;2;-200.97862028417066
16;0.03260532318924983;CTM;6;-200.97447635088776
16;0.03260532318924983;MPS;4;-200.97431208096052
16;0.03260532318924983;CTM;8;-200.9745553560507
16;0.03260532318924983;MPS;6;-200.9751530911151
16;0.03260532318924983;MPS;8;-200.97507057564144
32;0.006730572569123025;MPS;2;-200.59195824277379
32;0.006730572569123025;MPS;4;-200.58827181296627
32;0.006730572569123025;MPS;6;-200.58804867650292
32;0.006730572569123025;MPS;8;-200.5887543951965
